Species,Shape,Height,Diameter1,Diameter2
Pinus radiata,2,25,0.288,0.292
Pinus radiata,2,21,0.308,0.307
Pinus radiata,2,20,0.273,0.269
Pinus radiata,2,25,0.336,0.326
Pinus radiata,2,21.5,0.272,0.28
Pinus radiata,2,19,0.256,0.267
Pinus radiata,2,19,0.277,0.3
Pinus radiata,2,27,0.42,0.43
Pinus radiata,2,22,0.247,0.246
Pinus radiata,2,25,0.326,0.364
Pinus radiata,2,25,0.385,0.384
Pinus radiata,2,28.5,0.344,0.345
Pinus radiata,2,29.5,0.356,0.38
Pinus radiata,2,32,0.446,0.47
Pinus radiata,1,31.5,0.477,0.502
Pinus radiata,1,33,0.464,0.488
Pinus radiata,2,29.5,0.475,0.47
Pinus radiata,2,32.5,0.415,0.421
Pinus radiata,2,33.5,0.451,0.459
Pinus radiata,1,29.5,0.521,0.523
Pinus radiata,1,28.5,0.421,0.418
Pinus radiata,1,35,0.558,0.516
Pinus radiata,1,30,0.476,0.446
Pinus radiata,2,31.5,0.393,0.38
Pinus radiata,2,31.5,0.426,0.429
Pinus radiata,2,28,0.445,0.462
Pinus radiata,1,29.5,0.476,0.476
Pinus radiata,2,27.5,0.416,0.425
Pinus radiata,2,22.5,0.441,0.427
Pinus radiata,2,26,0.38,0.4
Pinus radiata,2,23,0.244,0.237
Pinus radiata,2,22,0.352,0.365
Pinus radiata,2,13,0.132,0.124
Pinus radiata,2,20.5,0.171,0.165
Pinus radiata,2,11.5,0.213,0.204
Pinus radiata,2,11.5,0.144,0.141
Pinus radiata,2,20.5,0.23,0.239
Pinus radiata,3,11.5,0.079,0.074
Pinus radiata,2,12.5,0.168,0.166
Pinus radiata,2,19.5,0.2,0.202
Pinus radiata,2,14.5,0.208,0.206
Pinus radiata,2,20.5,0.197,0.195
Pinus radiata,2,13,0.214,0.206
Pinus radiata,2,13,0.139,0.133
Pinus radiata,2,20,0.124,0.129
Pinus radiata,2,21,0.242,0.226
Pinus radiata,2,22,0.248,0.246
Pinus radiata,2,22.5,0.221,0.211
Pinus radiata,2,20.5,0.203,0.208
Pinus radiata,2,20,0.145,0.141
Pinus radiata,2,19.5,0.226,0.219
Pinus radiata,2,15.5,0.198,0.199
Pinus radiata,2,22.5,0.289,0.292
Pinus radiata,2,23,0.264,0.269
Pinus radiata,2,21,0.183,0.193
Pinus radiata,2,22.5,0.267,0.279
Pinus radiata,2,22.5,0.189,0.191
Pinus radiata,2,20.5,0.258,0.271
Pinus radiata,2,23.5,0.256,0.257
Pinus radiata,2,18.5,0.19,0.196
Pinus radiata,2,23,0.218,0.231
Pinus radiata,2,21,0.227,0.243
Pinus radiata,2,18.5,0.127,0.129
Pinus radiata,2,22.5,0.279,0.276
Pinus radiata,2,22,0.16,0.157
Pinus radiata,2,18,0.127,0.132
Pinus radiata,2,23,0.246,0.244
Pinus radiata,2,12,0.122,0.146
Pinus radiata,3,14.5,0.092,0.097
Pinus radiata,2,20.5,0.15,0.146
Pinus radiata,2,11.5,0.153,0.145
Pinus radiata,2,23,0.223,0.214
Pinus radiata,2,15,0.143,0.141
Pinus radiata,2,19,0.141,0.144
Pinus radiata,2,18.5,0.194,0.192
Pinus radiata,2,10.5,0.179,0.179
Pinus radiata,2,23,0.25,0.249
Pinus radiata,2,19,0.139,0.144
Pinus radiata,2,20,0.227,0.192
Pinus radiata,2,21.5,0.237,0.226
Pinus radiata,2,21.5,0.27,0.269
Pinus radiata,5,11,0.14,0.154
Pinus radiata,2,17,0.203,0.194
Pinus radiata,2,20.5,0.308,0.321
Pinus radiata,2,16.5,0.184,0.193
Pinus radiata,2,20.5,0.217,0.218
Pinus radiata,2,17,0.132,0.135
Pinus radiata,2,19,0.154,0.159
Pinus radiata,2,20,0.273,0.27
Pinus radiata,2,20.5,0.217,0.229
Pinus radiata,2,22,0.242,0.246
Pinus radiata,2,11,0.161,0.176
Pinus radiata,2,9,0.163,0.172
Pinus radiata,2,12,0.177,0.18
Pinus radiata,2,10.5,0.152,0.149
Pinus radiata,3,10.5,0.114,0.126
Pinus radiata,2,13.5,0.142,0.138
Pinus radiata,2,13,0.167,0.168
Pinus radiata,2,11,0.131,0.128
Pinus radiata,2,11.5,0.15,0.142
Pinus radiata,2,11.5,0.152,0.149
Pinus radiata,2,10.5,0.14,0.137
Pinus radiata,2,13,0.176,0.174
Pinus radiata,2,10.5,0.136,0.134
Pinus radiata,2,11.5,0.138,0.131
Pinus radiata,2,11,0.154,0.162
Pinus radiata,3,9,0.101,0.104
Pinus radiata,2,10,0.132,0.14
Pinus radiata,2,11,0.135,0.137
Pinus radiata,3,9,0.096,0.095
Pinus radiata,2,9,0.14,0.137
Pinus radiata,2,10.5,0.144,0.138
Pinus radiata,2,10,0.131,0.13
Pinus radiata,3,10,0.086,0.096
Pinus radiata,3,8.5,0.077,0.075
Pinus radiata,2,10,0.177,0.181
Pinus radiata,2,12.5,0.175,0.187
Pinus radiata,2,16,0.31,0.31
Pinus radiata,2,14.5,0.336,0.309
Pinus radiata,2,18,0.332,0.354
Pinus radiata,2,13,0.296,0.301
Pinus radiata,2,18,0.27,0.289
Pinus radiata,2,20,0.344,0.369
Pinus radiata,2,17,0.289,0.29
Pinus radiata,2,16.5,0.224,0.238
Pinus radiata,2,16,0.284,0.276
Pinus radiata,2,18.5,0.239,0.253
Pinus radiata,2,21.5,0.406,0.375
Pinus radiata,2,17,0.296,0.272
Pinus radiata,2,17.5,0.291,0.277
Pinus radiata,2,19,0.376,0.371
Pinus radiata,2,21,0.323,0.352
Pinus radiata,2,19.5,0.314,0.316
Pinus radiata,2,20,0.317,0.327
Pinus radiata,2,17.5,0.393,0.373
Pinus radiata,2,17.5,0.317,0.309
Pinus radiata,2,17.5,0.272,0.273
Pinus radiata,2,12.5,0.183,0.188
